ticket_id,created_date,department,issue,issue_category,priority,status,channel,customer_type,resolution_time
20,2026-03-27 04:40:00,IT,Unable to access the system due to password issue!!!,Password / Login,Low,Resolved,Phone,External Customer,4.92
21,2026-01-11 09:23:00,HR,Employee cannot select health insurance option,Benefits / Payroll,High,Open,Portal,External Customer,65.94
22,2026-02-15 13:01:00,Compliance,Data retention policy exception needs approval,Compliance Review,High,In Progress,Email,Vendor,41.22
23,2026-04-28 11:19:00,IT,Unable to connect to secure network,VPN / Access,High,In Progress,Chatbot,Partner,
24,2026-01-30 08:11:00,Sales,SALESFORCE OPPORTUNITY RECORD NOT UPDATING,Salesforce / CRM,High,Escalated,Chatbot,External Customer,15.61
25,2026-04-22 00:33:00,IT,Unable to connect to secure network please help asap,VPN / Access,Medium,Resolved,Phone,Partner,11.33
26,2026-03-25 12:44:00,Customer Support,Customer says payment was charged twice,Refund Request,Medium,Resolved,Email,Partner,18.42
27,2026-04-21 18:38:00,IT,Need VPN permission for client project,VPN / Access,Medium,Resolved,Chatbot,Partner,8.89
28,2026-03-02 21:19:00,IT,I FORGOT MY PASSWORD AND CANNOT LOG IN,Password / Login,Low,Resolved,Slack,Vendor,1.9
29,2026-02-07 20:44:00,HR,New employee onboarding is delayed,Onboarding Delay,Medium,Open,Email,Vendor,24.4
30,2026-04-29 21:33:00,IT,Unable to access the system due to password issue,Password / Login,Low,Resolved,Slack,Vendor,4.95
31,2026-03-05 20:17:00,IT,Unable to connect to secure network please help asap,VPN / Access,Medium,Resolved,Portal,Vendor,9.89
32,2026-02-24 02:26:00,Customer Support,CUSTOMER SAYS PAYMENT WAS CHARGED TWICE,Refund Request,Low,Resolved,Chatbot,Vendor,23.12
33,2026-04-01 09:48:00,HR,Salary information missing in HR system,Benefits / Payroll,High,In Progress,Slack,Partner,35.4
34,2026-04-14 23:10:00,Customer Support,REFUND NOT PROCESSED AFTER CANCELLATION!!!,Refund Request,Low,In Progress,Portal,Internal Employee,41.3
35,2026-03-25 06:29:00,IT,Need VPN permission for client project please help asap,VPN / Access,High,Open,Email,Internal Employee,
36,2026-03-05 06:53:00,Operations,Warehouse stock mismatch found during audit please help asap,Inventory Mismatch,High,Resolved,Chatbot,Internal Employee,8.57
37,2026-02-11 09:06:00,Operations,Missing stock after shipment reconciliation,Inventory Mismatch,Medium,In Progress,Phone,Internal Employee,
38,2026-05-25 01:22:00,Operations,Inventory count does not match system records,Inventory Mismatch,High,Resolved,Slack,External Customer,22.92
39,2026-05-14 20:17:00,HR,Need correction in benefits portal,Benefits / Payroll,Medium,In Progress,Slack,External Customer,48.95
40,2026-05-26 19:42:00,Operations,ITEM QUANTITY INCORRECT IN INVENTORY PLATFORM,Inventory Mismatch,High,Resolved,Chatbot,External Customer,18.61
41,2026-04-15 15:35:00,IT,Password expired and reset link is not working,Password / Login,Low,Resolved,Chatbot,Partner,4.03
42,2026-05-16 11:27:00,HR,Employee cannot select health insurance option,Benefits / Payroll,Medium,Resolved,Portal,External Customer,71.8
43,2026-05-04 08:46:00,IT,VPN access is not working from home,VPN / Access,Medium,Open,Email,Partner,
44,2026-02-02 20:55:00,Customer Support,Customer requesting refund for duplicate charge,Refund Request,Medium,Resolved,Email,Vendor,37.62
45,2026-05-28 20:43:00,Finance,Purchase order mismatch delaying invoice please help asap,Invoice Approval,Critical,Resolved,Portal,Vendor,21.32
46,2026-04-24 09:55:00,HR,Salary information missing in HR system,Benefits / Payroll,Medium,Resolved,Email,External Customer,47.31
47,2026-05-22 02:10:00,IT,Cannot access internal tools outside office please help asap,VPN / Access,Medium,Resolved,Phone,External Customer,3.02
48,2026-05-20 07:41:00,HR,PAYROLL DEDUCTION LOOKS INCORRECT please help asap,Benefits / Payroll,High,Resolved,Slack,Partner,20.94
49,2026-03-11 16:34:00,Customer Support,Customer requesting refund for duplicate charge!!!,Refund Request,High,Resolved,Chatbot,Internal Employee,26.74
50,2026-03-10 18:02:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,Medium,Resolved,Slack,Partner,19.26
51,2026-03-24 21:06:00,HR,Need correction in benefits portal,Benefits / Payroll,High,Resolved,Email,Vendor,63.46
52,2026-01-01 21:55:00,Compliance,Audit evidence missing for policy review,Compliance Review,Critical,Resolved,Phone,Vendor,76.09
53,2026-05-05 03:01:00,Compliance,Audit evidence missing for policy review,Compliance Review,High,Resolved,Email,External Customer,117.42
54,2026-03-16 16:45:00,Finance,Invoice stuck in approval workflow please help asap,Invoice Approval,Medium,In Progress,Phone,Vendor,34.95
55,2026-05-10 08:52:00,HR,Employee onboarding approval pending,Onboarding Delay,High,Open,Phone,External Customer,24.18
56,2026-03-03 18:24:00,Sales,Sales report missing latest pipeline data,Salesforce / CRM,Low,Open,Email,External Customer,
57,2026-03-26 03:55:00,Finance,FINANCE APPROVAL NEEDED FOR OVERDUE INVOICE please help asap,Invoice Approval,High,Resolved,Slack,Internal Employee,70.39
58,2026-05-17 12:20:00,Compliance,COMPLIANCE CHECKLIST INCOMPLETE FOR PROCESS please help asap,Compliance Review,High,In Progress,Email,Internal Employee,
59,2026-03-18 00:02:00,HR,Employee cannot select health insurance option please help asap,Benefits / Payroll,Medium,Resolved,Chatbot,Vendor,31.46
60,2026-03-03 15:58:00,Customer Support,Need refund approval for billing complaint,Refund Request,High,Resolved,Slack,Partner,30.49
61,2026-03-18 20:27:00,Sales,LEAD ASSIGNMENT RULE FAILED,Salesforce / CRM,High,Resolved,Phone,Internal Employee,17.81
62,2026-04-12 08:00:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Low,Resolved,Phone,External Customer,15.32
63,2026-03-06 21:48:00,Customer Support,Refund request pending for customer order,Refund Request,High,Resolved,Portal,Internal Employee,36.28
64,2026-03-25 23:26:00,Compliance,Compliance checklist incomplete for process,Compliance Review,Critical,Resolved,Phone,Partner,40.86
65,2026-04-30 02:09:00,,Missing stock after shipment reconciliation,Inventory Mismatch,Medium,Resolved,Phone,Vendor,29.12
66,2026-04-06 03:43:00,Operations,Inventory discrepancy requires investigation,Inventory Mismatch,High,Resolved,Email,External Customer,14.55
67,2026-01-10 09:31:00,IT,LOGIN NOT WORKING FOR EMPLOYEE PORTAL,Password / Login,Medium,Resolved,Portal,Vendor,1.46
68,2026-05-06 19:26:00,Customer Support,Need refund approval for billing complaint,Refund Request,Medium,Resolved,Phone,Internal Employee,45.44
69,2026-02-18 03:54:00,HR,Laptop and access not ready for new hire,Onboarding Delay,Medium,Resolved,Portal,Internal Employee,83.34
70,2026-05-22 06:37:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,High,In Progress,Email,Internal Employee,
71,2026-04-02 07:37:00,IT,I FORGOT MY PASSWORD AND CANNOT LOG IN!!!,Password / Login,Medium,Resolved,Email,Vendor,2.3
72,2026-01-12 23:50:00,Finance,Payment request pending manager apprval,Invoice Approval,Critical,Resolved,Slack,Internal Employee,74.34
73,2026-03-24 19:09:00,Compliance,Compliance checklist incomplete for process,Compliance Review,Critical,Resolved,Email,External Customer,30.31
74,2026-02-28 13:21:00,HR,Benefits enrollment issue needs review,Benefits / Payroll,High,Resolved,Email,Internal Employee,61.65
75,2026-04-06 04:35:00,HR,Salary information missing in HR system please help asap,Benefits / Payroll,Medium,Escalated,Chatbot,Partner,15.6
76,2026-05-28 16:13:00,HR,New employee onboarding is delayed,Onboarding Delay,High,Resolved,Chatbot,Internal Employee,35.14
77,2026-03-10 00:11:00,Finance,PAYMENT REQUEST PENDING MANAGER APPROVAL,Invoice Approval,Critical,Open,Email,External Customer,34.94
78,2026-04-27 10:10:00,HR,Employee onboarding approval pending,Onboarding Delay,Medium,Open,Slack,Vendor,50.64
79,2026-04-17 08:13:00,Finance,FINANCE APPROVAL NEEDED FOR OVERDUE INVOICE,Invoice Approval,Medium,Resolved,Chatbot,Internal Employee,64.81
80,2026-03-19 06:49:00,IT,ACCOUNT LOCKED AFTER MULTIPLE LOGIN ATTEMPTS,Password / Login,Low,Resolved,Phone,Internal Employee,1.55
81,2026-01-11 13:01:00,HR,Onboarding checklist is incomplete,Onboarding Delay,Medium,Resolved,Portal,Vendor,57.1
82,2026-04-03 02:27:00,Operations,Inventory discrepancy requires investigation please help asap,Inventory Mismatch,Medium,Resolved,Email,External Customer,31.65
83,2026-03-31 11:46:00,Compliance,Audit evidence missing for policy review please help asap,Compliance Review,High,Resolved,Slack,Vendor,115.99
84,2026-05-29 14:43:00,Operations,Inventory discrepancy requires investigation,Inventory Mismatch,High,Resolved,Chatbot,Internal Employee,33.88
85,2026-01-19 09:29:00,HR,ONBOARDING CHECKLIST IS INCOMPLETE,Onboarding Delay,High,Resolved,Email,Vendor,56.54
86,2026-05-27 20:12:00,Compliance,Audit evidence missing for policy review,Compliance Review,High,Resolved,Portal,Internal Employee,54.87
87,2026-04-23 14:33:00,IT,Remote access keeps disconnecting,VPN / Access,High,Resolved,Email,Vendor,7.7
88,2026-02-08 10:05:00,IT,Remote access keeps disconnecting,VPN / Access,Medium,Resolved,Slack,Partner,8.24
89,2026-05-15 02:41:00,Operations,Inventory count does not match system records,Inventory Mismatch,Medium,Resolved,Portal,Internal Employee,26.77
90,2026-01-26 16:49:00,IT,Remote access keeps disconnecting,VPN / Access,Medium,Open,Email,Vendor,
91,2026-03-02 14:39:00,HR,Employee onboarding approval pending,Onboarding Delay,High,Open,Phone,Vendor,
92,2026-04-18 05:52:00,Finance,PAYMENT REQUEST PENDING MANAGER APPROVAL,Invoice Approval,Critical,Resolved,Phone,Internal Employee,30.38
93,2026-03-11 14:57:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,High,In Progress,Email,Partner,
94,2026-03-23 03:53:00,IT,UNABLE TO CONNECT TO SECURE NETWORK,VPN / Access,High,Resolved,Email,Internal Employee,9.43
95,2026-02-25 04:35:00,IT,UNABLE TO ACCESS THE SYSTEM DUE TO PASSWORD ISSUE!!!,Password / Login,Medium,Resolved,Slack,Internal Employee,4.76
96,2026-05-28 07:45:00,Customer Support,Refund not processed after cancellation,Refund Request,Medium,Resolved,Chatbot,Internal Employee,12.03
97,2026-05-01 01:40:00,HR,New employee onboarding is delayed please help asap,Onboarding Delay,High,Resolved,Phone,Partner,51.86
98,2026-02-14 21:29:00,Operations,Warehouse stock mismatch found during audit please help asap,Inventory Mismatch,Medium,Resolved,Email,Partner,35.46
99,2026-05-12 12:52:00,Sales,CRM account ownership is incorrect,Salesforce / CRM,Medium,Resolved,Slack,Vendor,14.86
100,2026-04-09 10:11:00,Compliance,Compliance checklist incomplete for process please help asap,Compliance Review,High,Resolved,Phone,Internal Employee,71.64
101,2026-03-17 09:28:00,IT,Password expired and reset link is not working,Password / Login,Medium,Resolved,Email,Internal Employee,3.41
102,2026-04-14 11:32:00,Customer Support,CUSTOMER REQUESTING REFUND FOR DUPLICATE CHARGE!!!,Refund Request,High,Resolved,Slack,Internal Employee,39.65
103,2026-04-26 11:23:00,Finance,Invoice stuck in approval workflow,Invoice Approval,Critical,Resolved,Chatbot,Vendor,45.52
104,2026-01-31 08:49:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,Medium,Resolved,Slack,Internal Employee,9.21
105,2026-03-23 21:22:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,High,Resolved,Email,External Customer,27.87
106,2026-03-02 15:01:00,Operations,Missing stock after shipment reconciliation!!!,Inventory Mismatch,High,Resolved,Slack,Internal Employee,18.11
107,2026-03-23 20:04:00,IT,ACCOUNT LOCKED AFTER MULTIPLE LOGIN ATTEMPTS,Password / Login,Low,Resolved,Email,Internal Employee,2.8
108,2026-03-19 05:10:00,Finance,Payment request pending manager approval!!!,Invoice Approval,Critical,Resolved,Phone,Internal Employee,38.0
109,2026-02-13 18:37:00,Finance,Purchase order mismatch delaying invoice,Invoice Approval,Critical,Resolved,Phone,External Customer,27.56
110,2026-04-17 19:40:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,Medium,In Progress,Slack,Vendor,
111,2026-03-29 19:09:00,HR,Employee cannot select health insurance option please help asap,Benefits / Payroll,High,Resolved,Slack,External Customer,30.75
112,2026-01-13 09:24:00,IT,Need password reset for my company account,Password / Login,Medium,Resolved,Phone,Vendor,4.46
113,2026-04-11 16:29:00,IT,ACCOUNT LOCKED AFTER MULTIPLE LOGIN ATTEMPTS,Password / Login,Medium,Resolved,Email,Vendor,4.87
114,2026-03-09 23:23:00,IT,UNABLE TO ACCESS THE SYSTEM DUE TO PASSWORD ISSUE,Password / Login,Medium,Resolved,Phone,Internal Employee,4.06
115,2026-01-25 12:23:00,IT,Account locked after multiple login attempts,Password / Login,Low,Resolved,Slack,Vendor,4.18
116,2026-05-12 04:20:00,IT,Unable to access the system due to password issue,Password / Login,Medium,Resolved,Phone,Vendor,4.73
117,2026-04-05 10:43:00,Operations,Item quantity incorrect in inventory platform!!!,Inventory Mismatch,Medium,Resolved,Chatbot,Vendor,11.07
118,2026-04-08 04:52:00,IT,PASSWORD EXPIRED AND RESET LINK IS NOT WORKING please help asap,Password / Login,Medium,Resolved,Chatbot,Vendor,3.72
119,2026-01-16 22:08:00,Compliance,Data retention policy exception needs approval,Compliance Review,Critical,Resolved,Phone,Vendor,73.79
120,2026-03-05 08:35:00,IT,Remote access keeps disconnecting,VPN / Access,High,In Progress,Chatbot,Vendor,5.69
121,2026-04-12 11:49:00,Compliance,Risk review pending for new supplier please help asap,Compliance Review,High,Resolved,Chatbot,Partner,101.24
122,2026-03-11 04:06:00,Sales,CRM ACCOUNT OWNERSHIP IS INCORRECT,Salesforce / CRM,Medium,Resolved,Email,External Customer,16.31
123,2026-05-21 05:26:00,IT,PASSWORD EXPIRED AND RESET LINK IS NOT WORKING,Password / Login,Low,In Progress,Portal,Internal Employee,
124,2026-02-14 13:56:00,Sales,Sales report missing latest pipeline data,Salesforce / CRM,,In Progress,Chatbot,Internal Employee,
125,2026-03-27 09:29:00,Sales,Sales report missing latest pipeline data please help asap,Salesforce / CRM,Medium,Resolved,Slack,Partner,23.78
126,2026-01-04 23:21:00,Customer Support,REFUND REQUEST PENDING FOR CUSTOMER ORDER,Refund Request,Low,Resolved,Email,External Customer,39.21
127,2026-05-03 10:59:00,Sales,CRM account ownership is incorrect,Salesforce / CRM,Medium,Resolved,Portal,Internal Employee,8.96
128,2026-04-30 09:10:00,Customer Support,Need refund approval for billing complaint,Refund Request,Low,Resolved,Slack,Partner,23.03
129,2026-05-21 15:48:00,HR,Payroll deduction looks incorrect,Benefits / Payroll,High,Resolved,Chatbot,Internal Employee,44.25
130,2026-05-21 16:12:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Slack,External Customer,3.29
131,2026-04-27 18:03:00,Finance,Payment request pending manager approval,Invoice Approval,Medium,Resolved,Email,Internal Employee,52.65
132,2026-01-18 15:02:00,Sales,CRM account ownership is incorrect,Salesforce / CRM,Medium,Resolved,Slack,Vendor,9.74
133,2026-05-19 04:41:00,IT,Login not working for employee portal please help asap,Password / Login,Medium,Resolved,Chatbot,Vendor,4.44
134,2026-02-28 07:29:00,Finance,VENDOR INVOICE APPROVAL IS DELAYED,Invoice Approval,Medium,Resolved,Email,Internal Employee,39.46
135,2026-01-13 07:47:00,HR,Salary information missing in HR system,Benefits / Payroll,High,Resolved,Phone,External Customer,14.65
136,2026-02-06 21:33:00,HR,New employee onboarding is delayed,Onboarding Delay,High,Resolved,Phone,Vendor,39.92
137,2026-03-23 22:26:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,High,Resolved,Chatbot,Vendor,19.43
138,2026-05-23 16:08:00,Sales,Lead assignment rule failed!!!,Salesforce / CRM,Low,Resolved,Slack,Internal Employee,11.77
139,2026-02-18 18:46:00,Compliance,Audit evidence missing for policy review!!!,Compliance Review,High,Resolved,Slack,External Customer,88.46
140,2026-02-22 12:58:00,Customer Support,Need refund approval for billing complaint,Refund Request,Medium,Resolved,Slack,Partner,16.05
141,2026-04-05 10:26:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Medium,In Progress,Chatbot,External Customer,4.91
142,2026-03-28 08:48:00,Finance,Finance approval needed for overdue invoice,Invoice Approval,Medium,Escalated,Chatbot,Internal Employee,68.94
143,2026-01-20 21:03:00,Finance,INVOICE STUCK IN APPROVAL WORKFLOW please help asap,Invoice Approval,Critical,Resolved,Chatbot,Vendor,65.39
144,2026-01-05 00:34:00,Customer Support,Refund not processed after cancellation,Refund Request,Medium,Resolved,Portal,Internal Employee,29.17
145,2026-05-15 04:15:00,Sales,Lead assignment rule failed,Salesforce / CRM,High,Resolved,Email,Internal Employee,7.84
146,2026-04-08 12:35:00,IT,PASSWORD EXPIRED AND RESET LINK IS NOT WORKING,Password / Login,Low,Resolved,Email,External Customer,2.9
147,2026-05-26 15:17:00,IT,Remote access keeps disconnecting,VPN / Access,Medium,Resolved,Slack,Internal Employee,3.42
148,2026-05-25 07:36:00,IT,Cannot access internal tools outside office,VPN / Access,High,Resolved,Slack,External Customer,10.51
149,2026-03-29 19:49:00,Operations,ITEM QUANTITY INCORRECT IN INVENTORY PLATFORM,Inventory Mismatch,High,Resolved,Chatbot,Vendor,25.19
150,2026-03-17 07:45:00,IT,Unable to access the system due to password issue,Password / Login,Low,Resolved,Slack,Partner,1.29
151,2026-01-27 04:05:00,Operations,Inventory discrepancy requires investigation please help asap,Inventory Mismatch,High,Resolved,Email,Partner,13.25
152,2026-01-22 23:57:00,HR,Payroll deduction looks incorrect please help asap,Benefits / Payroll,High,Escalated,Portal,Vendor,45.57
153,2026-03-18 15:50:00,IT,Unable to connect to secure network,VPN / Access,Medium,Resolved,Phone,Vendor,3.69
154,2026-03-26 14:21:00,Operations,INVENTORY DISCREPANCY REQUIRES INVESTIGATION,Inventory Mismatch,High,In Progress,Phone,Vendor,20.06
155,2026-03-04 10:24:00,,CANNOT EDIT CUSTOMER ACCOUNT IN CRM,Salesforce / CRM,High,Open,Portal,Vendor,
156,2026-01-18 13:43:00,Operations,Warehouse stock mismatch found during audit please help asap,Inventory Mismatch,High,Resolved,Chatbot,Vendor,21.98
157,2026-04-03 22:57:00,Finance,VENDOR INVOICE APPROVAL IS DELAYED,Invoice Approval,Critical,Resolved,Slack,Partner,68.36
158,2026-04-21 03:00:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,High,Resolved,Chatbot,External Customer,5.97
159,2026-01-07 15:06:00,HR,Laptop and access not ready for new hire,Onboarding Delay,Medium,In Progress,Slack,Partner,
160,2026-01-12 22:07:00,IT,I forgot my password and cannot log in please help asap,Password / Login,Low,Resolved,Slack,Vendor,1.09
161,2026-04-14 20:11:00,IT,NEED VPN PERMISSION FOR CLIENT PROJECT,VPN / Access,Medium,Resolved,Email,Internal Employee,4.68
162,2026-05-18 05:23:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,High,Resolved,Phone,Partner,17.13
163,2026-02-14 21:45:00,Compliance,Audit evidence missing for policy review,Compliance Review,Critical,In Progress,Portal,Vendor,
164,2026-05-05 20:34:00,HR,Payroll deduction looks incorrect,Benefits / Payroll,Medium,Resolved,Email,Vendor,53.61
165,2026-04-09 17:32:00,IT,Unable to access the system due to password issue!!!,Password / Login,Low,Resolved,Phone,External Customer,3.61
166,2026-02-13 14:36:00,Finance,Vendor invoice approval is delayed,Invoice Approval,Medium,Open,Slack,External Customer,
167,2026-01-27 23:53:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Low,Resolved,Chatbot,Partner,17.07
168,2026-04-20 05:39:00,Compliance,Audit evidence missing for policy review,Compliance Review,Critical,Resolved,Phone,Internal Employee,37.37
169,2026-04-16 01:17:00,IT,Need password reset for my company account,Password / Login,Medium,Resolved,Phone,Vendor,4.47
170,2026-01-20 20:50:00,HR,Employee onboarding approval pending,Onboarding Delay,Medium,Resolved,Email,Vendor,87.37
171,2026-04-02 02:50:00,Customer Support,Customer says payment was charged twice,Refund Request,Low,Resolved,Slack,Partner,28.45
172,2026-01-13 01:06:00,Compliance,Audit evidence missing for policy review please help asap,Compliance Review,High,In Progress,Phone,External Customer,
173,2026-03-12 02:41:00,Compliance,AUDIT EVIDENCE MISSING FOR POLICY REVIEW,Compliance Review,High,Resolved,Email,External Customer,58.6
174,2026-02-03 18:14:00,HR,Benefits enrollment issue needs review,Benefits / Payroll,Medium,Resolved,Email,Internal Employee,43.17
175,2026-04-05 09:08:00,IT,Password expired and reset link is not working please help asap!!!,Password / Login,Medium,Open,Portal,External Customer,2.53
176,2026-04-24 06:05:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Medium,Resolved,Portal,Partner,21.93
177,2026-01-07 21:56:00,Operations,INVENTORY DISCREPANCY REQUIRES INVESTIGATION,Inventory Mismatch,Medium,Resolved,Email,External Customer,16.45
178,2026-01-19 16:56:00,Finance,PAYMENT REQUEST PENDING MANAGER APPROVAL,Invoice Approval,High,Escalated,Email,Internal Employee,78.62
179,2026-01-04 08:13:00,Finance,Finance approval needed for overdue invoice,Invoice Approval,Medium,Resolved,Chatbot,External Customer,20.47
180,2026-03-21 02:32:00,IT,Unable to connect to secure network,VPN / Access,Medium,Escalated,Slack,External Customer,11.29
181,2026-01-23 13:07:00,IT,Account locked after multiple login attempts!!!,Password / Login,Low,Resolved,Phone,Partner,2.81
182,2026-02-02 23:49:00,IT,I forgot my password and cannot log in,Password / Login,Low,Open,Chatbot,Partner,
183,2026-05-26 05:23:00,IT,Password expired and reset link is not working!!!,Password / Login,Low,Open,Phone,Vendor,1.63
184,2026-02-15 01:35:00,Sales,Sales report missing latest pipeline data,Salesforce / CRM,High,Resolved,Chatbot,Internal Employee,20.06
185,2026-05-13 01:25:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Phone,External Customer,1.28
186,2026-05-07 06:46:00,HR,Benefits enrollment issue needs review please help asap,Benefits / Payroll,Medium,Open,Email,Vendor,
187,2026-03-20 03:13:00,Compliance,Data retention policy exception needs approval,Compliance Review,High,Resolved,Chatbot,Vendor,74.86
188,2026-04-06 14:47:00,Customer Support,Refund request pending for customer order!!!,Refund Request,Low,Resolved,Phone,Partner,9.57
189,2026-04-11 22:53:00,Sales,Lead assignment rule failed,Salesforce / CRM,Low,Resolved,Slack,Partner,18.71
190,2026-05-18 11:49:00,HR,Employee cannot select health insurance option please help asap,Benefits / Payroll,Medium,Resolved,Phone,External Customer,24.46
191,2026-03-05 11:25:00,IT,Account locked after multiple login attempts please help asap,Password / Login,Low,Resolved,Email,External Customer,3.05
192,2026-01-16 07:08:00,IT,Password expired and reset link is not working,Password / Login,Low,Resolved,Portal,Vendor,1.79
193,2026-01-24 10:07:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,High,Resolved,Portal,External Customer,9.2
194,2026-04-25 04:02:00,IT,Remote access keeps disconnecting!!!,VPN / Access,High,Resolved,Chatbot,External Customer,8.53
195,2026-05-20 00:24:00,Customer Support,Refund not processed after cancellation,Refund Request,Low,Resolved,Portal,Internal Employee,38.84
196,2026-03-13 01:51:00,Compliance,Compliance checklist incomplete for process,Compliance Review,High,Resolved,Portal,Vendor,119.19
197,2026-02-14 05:15:00,HR,EMPLOYEE ONBOARDING APPROVAL PENDING,Onboarding Delay,Medium,Open,Slack,Partner,66.66
198,2026-01-10 02:03:00,IT,Login not working for employee portal,Password / Login,Low,Resolved,Phone,Internal Employee,1.93
199,2026-05-31 22:58:00,IT,Login not working for employee portal,Password / Login,Low,Resolved,Phone,External Customer,1.57
200,2026-04-22 20:31:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,Low,Resolved,Phone,External Customer,16.98
201,2026-01-01 22:36:00,IT,LOGIN NOT WORKING FOR EMPLOYEE PORTAL,Password / Login,Low,Escalated,Portal,Partner,2.57
202,2026-03-02 11:20:00,Customer Support,Need refund approval for billing complaint!!!,Refund Request,Low,In Progress,Email,Vendor,
203,2026-04-18 05:56:00,HR,NEED CORRECTION IN BENEFITS PORTAL,Benefits / Payroll,Medium,In Progress,Email,Partner,
204,2026-03-08 03:04:00,IT,I forgot my password and cannot log in,Password / Login,Medium,In Progress,Slack,External Customer,
205,2026-04-22 05:03:00,Finance,Invoice stuck in approval workflow,Invoice Approval,High,Resolved,Email,Vendor,24.28
206,2026-05-06 04:03:00,Finance,Payment request pending manager approval!!!,Invoice Approval,Critical,Resolved,Email,Vendor,40.37
207,2026-03-20 12:30:00,Compliance,Compliance approval needed for vendor document,Compliance Review,High,Resolved,Slack,Partner,70.95
208,2026-03-10 18:03:00,IT,VPN ACCESS IS NOT WORKING FROM HOME,VPN / Access,Medium,Resolved,Chatbot,Vendor,4.36
209,2026-05-02 18:56:00,Sales,Sales report missing latest pipeline data,Salesforce / CRM,High,Resolved,Portal,Internal Employee,8.71
210,2026-04-25 05:10:00,Sales,SALES REPORT MISSING LATEST PIPELINE DATA,Salesforce / CRM,High,Open,Email,Internal Employee,
211,2026-04-12 17:20:00,HR,New employee onboarding is delayed,Onboarding Delay,Medium,Resolved,Chatbot,Internal Employee,85.68
212,2026-05-25 03:50:00,Sales,Lead assignment rule failed,Salesforce / CRM,Low,Resolved,Portal,Vendor,9.72
213,2026-03-26 22:15:00,IT,Account locked after multiple login attempts please help asap,Password / Login,Medium,Resolved,Email,External Customer,1.2
